name,url,credit,links_work,updated,best
J. Cole,1hjMtB-acUEpXYkR6TWQVeVoUzSLrAVIdy1lMoM6aFFw,"Mr. Chedda, slothsavedearth, a_native_person",1,1,false
Childish Gambino,1eyBjj7qPxIT_P93RaSPZf5hTJemGi5jMqSJF777OsdE,"shri, mouse man, Dr. Wolf, Buddy, p4, comptonrapper, Commandtechno, Plague Doctress, slothsavedearth",1,1,false
LUCKI,1zoRNpy7Lvr-JzPqtQLLWRVVDbgKygpBaDf4cC-Lt6k4,Zedroz,1,1,true
Pharrell Williams,1guNCg4c5AOuKjNJcxM14wPrU5xgqv7GBXHv1_nDeyss,"slothsavedearth, FinalxNinja, Johnny Crimson, Mika",1,1,true
NBA Youngboy,1-eJxsD-YciRGsQ6367NQ8zKdVJKEq8pirJPcwncgSwg,@manwithaplan2,1,1,false
Gunna,1P_BA-CIy05lDl9j1H06awxNqvXYJcD-KeBPVdgTO7Eo,"raglord, fishybusiness, CST",1,1,false
Aristotle Benoit,1GhcILfh7Hi0fiCbUN3kVucrzHFBquTlwBIMgeRIBMok,"rentherunner, june",1,1,false
Ty Dolla $ign,11Kk3Mi8iiFmXEFV8vzcmTrnjcMkfgImABCavXhC4D48,x3mili,1,1,true
MF DOOM,1zEbzMVXFXzuY4wLdPvdQA23lb3RwCSOKqWtHsllXNk8,"@madvilliany, HeyImTy",1,1,false
TrackerHub,17FyMI6p-sWT7FRmwvdhaRPrJmHHFAHEcYLizXGZ9-ec,iaon,1,1,false
Lana Del Rey,1MA0iwwh187BGmd0rI70_IwrG3vopIkqMIgx7pU7nbmg,motelgrl,1,1,false
Melanie Martinez,1tgEB-L2zA5VCkLNyMueg73yZREUxJUMJ5GcrX9BvUns,James Joint,1,1,false
Chief Keef,1oDE9gTnEG7ufPQIOMjLTegfI47qtgNCxngmxxHZL4qA,"Swaggely, GloTheActivist, Glanesky, Rojas, ej, Cortez, 1017kev",1,1,false
Yuno Miles,1i0OISTGJvNe3vc6TKpO7vRtMJ2Re0y64eAwi1F5y26c,"random asian man, lukie, yungtron",1,0,false
Kanye West (yetracker.net),yetracker.net,crave,1,1,true
Taylor Swift [Alt],1hXksvQRYqhHMEnF4sK8R66NYR_H1qSnQeUyTTg_uj0Y,Rain51db & Animal Crackers,1,1,false
SoFaygo,1HISW5L6rWvEW-ZtHrUQRBbjwfOYTrTuzi5fgPkwtObQ,@joshkori,1,1,false
JPEGMAFIA,1IhfNqEOtwczA6JH52gv2feerMqlJEbaDV4bxaIr7gkI,"fmlu, yzygap, m3lt, ColbyJackChedda, kebabmf, Miser",2,0,false
Doja Cat,1_NwxP5mGGEj7stY0Dr_hI_Pb4m8LBIyt3Cb-OoTJPtc,"Tonixander, lookierapbitch, salcap1",1,1,true
BLACKPINK,1eDyaVS7_db9w--D3erORgXswXTtv9yD0K0BFxjVLEp4,notok,1,1,false
Dream,1zufNODk_zMyyYQdwM4RtKHVtfY8WplefbsRJ9__dQns,PurpleEyesMusic,1,0,false
Daniel Caesar,1_D-puv6fjwCjrx9x7qAu9oYzUfFzDLrLz1cElaXndso,"aeol, ColbyJackChedda, andygump211, Marin, jayspy26, mizticaltoez",1,1,false
Lil Yachty,122UuKwiKLuoP36tr8r4WTjOouy2gDJGRUDXCc4uD9lw,@RomaniFiles,1,1,false
Jay-Z,18GwItf2M92QimNMAbUCfFsxCkiHlkf8DPJPLWHAcoxQ,"yeezus528, troabroa, slothsavedearth, Johnny Crimson, bsterthegawd, cool_gamez, colbyjackchedda",1,1,false
Bad Bunny,1O5RFNuOF4-K7xWCYMRQXy3Y_WkYOWu6o9zClsw8lPi4,"valent, scarfvass",1,1,false
Pi'erre Bourne,10nxKfjzuGTlvieAoDWJ8VcDPj2Jxy1bnNeLxzjLq2i8,"@FinalxNinja @Anatomy, & @Mauj",1,1,false
Kid Cudi,1fj9HcbyLbu5NGwJzbl1lExQud3FNKv-JUU6NY4OKM9Y,@deka @retroshaffer @colbyjackchedda @yanviktor @Zach3656 @tysonnn,1,0,false
Prettifun,1gHCN8bRLQPLz0jRRS2UBN9cZbgPLK8VSnAwAEJHzk9I,"slemns, gabe, fly",1,1,false
Radiohead,176VMdQqyLmFodWpZLgLqkvup4izKpcQQmBwPFLEw9GM,"Jozzuh, Brimcoole, fuckwad, Yung Neil, hcaor, sleephead, gerald",1,1,false
Lil Tecca,15UwihAVwPeS6eIE1FE1J6v7xiBYFkculVrzhMSIcEew,"Brimcoole, ColbyJackChedda, bxpolar, Alex",1,1,false
Future [Alt],1oTBrP-LZFNFUpkGMako-W7LeN6k0zGn5iOTWZiJnG-A,millsmax,1,1,false
Lil Uzi Vert [Alt #1],1MuPypaJqrTqVR3wtEEN0B4dvXHga9Z4Cb-GfXdY9IvU,overlord,0,1,false
Dave Blunts,1FyFFSiTma6zcqtuYaldoZg0HUoEip7xwDSEReL7JmH4,"awsum, HEAT DEATH, nicole, Hauska",1,1,true
Steve Lacy,1xqnIw0wymufIjKfoaXGDC-KAVuF81S5quMCCX7lYQyc,"manick, andygump211, ColbyJackChedda, yatta",1,1,false
Rihanna,1HMqjw55sCPUGyI_UBc-JcO881FHzUTX08NvQY9oa61k,"Don Smokecrack, ReferredRhyme",2,1,false
Lady Gaga,1w0GnN9eEM1Z0tyxvWtTUjIbrg2COzmgrFdKeTeHRae8,@waynvr,1,1,false
Drake [Alt],1VP0mGlfR_6nCDcq1S28JQgtbwKP9qzWFJY1R91meQso,@CertifiedTrackerBoy,1,1,false
EsDeeKid,1adwl0w_cAvqw7ZN4jnGNKjh_dOzEiYBCRgGiVcEs8cY,"chainlocked, grace",1,1,false
Gorillaz,1jauTeMKDULPud0hGD-gPeD-HM70HiBSedrLyOyAqUh0,"vertie, deka, The Invisible Man II",1,1,false
Dr. Dre/N.W.A,10_QK8xP-WCdrfO6RaIkhdDtYUXaM966e6D1xWD__iIo,"G-Man Junior, Franki8000, Kali Kush, GrimR3xx, HighSpeedChase, OnlyTwentyCharacters, Loony, idk what to put here",1,1,true
Unc and Phew,1-JdaCDJOSA6NTmClTnnmEMBGTqNgaw-RZiQ7ulABpO8,"xyan, michael",1,1,false
2SLIMEY,1PF2od2wAC-bWaqC4Un61FfBlNZSfNqXdz74pYuW5PMI,"apollored1__, stashmuzik",1,1,false
Lil Nas X,1JGdk2NZMh6t-ZBZQiXG31GRx15LS4QKBFocQByC8jUc,"deka, venkevinnn, Helly, TheEKing",1,1,false
Jaydes,1us61d0udA8vZXxAazTGLBU4dUBjKCpzfFD6MpMIq7LA,charmlefleur on disc,1,1,false
OsamaSon [Alt],1EY8jO0hOALIUP76HGL_Jf6aqwRA9qc2cT_SLZhqjH6E,"emo yn, saucy/listeez, inservin, Sway, quixotic, starboy, #fentfirst, Slemns",1,1,false
Tame Impala,1ZcFPelNGPTl7pR_6o43lAZmwDdqgkDXLp_o4YHrahZA,"KrackerZ / Dr Wolf, Scarfvass, oldchunk",1,1,false
2Pac,162700v9WXnlARzwp49s2h_fGHOGZGT6BgvbRuaNsq0Q,@Jay Z,0,0,false
Homixide Gang,15eM2g5vJWJIRl1qRYZoGgbKxUXRqIANRKLykqM7ps2M,"Y3Hami, Lil Joan, Fitz, Max",1,1,false
James Blake,1_bPMUWLNzeMY0CtVEE3PHkuCsZL80wnA-6joAUfx7p4,"misuse._ , x3mili, graceisfriend",1,1,false
Oliver Tree,1rhvQ9F8VRAj-jOyTLsvhORsVCyvcMRXJuGoDR1-z4jY,"Cowtools, TyreimBy, Aurien",1,1,false
xaviersobased,1-YsBGzZVLBw_Dnm1tgndRJoRkPtS5WKW1XmPBbKPcS0,slemns,1,1,false
Lil Uzi Vert [Alt #2],19jsHFFWjAvUGeGTWq6zFgtfJQBuHipmgZ0BoVhmo6pg,"shadow, spiritalnaam, fishybusyness, gkalb, ruff, hundos",2,0,false
The Beatles,1y34Zmg8AtI1FZmwOFzUCusLSE3KuwpNKpFdeOQfnuBc,u/ItsMichaelRay,0,1,false
Earl Sweatshirt,1EKEnvdiwSudiPJSePPzfCXIQ_W-AYeAIY6_r-a12bdM,/u/Puzzlehead_Bit7904 gabu#4801 @plaguedoctresss,1,1,false
Daft Punk,1ZPjnzdSJLRIGwscll1T8NpPFJ57CCmE4oj43NnxmaDY,aj834,1,0,false
Twenty One Pilots,1-njYcJF1BwZ2auQ46Uz0pMNRwkylxGEKdR2D4oS_sHk,Whisp,2,1,false
Brent Faiyaz,1cmJx1BlvgW6nYjZpiOpgzp8QZC6qN8b7op3w9D1N3HE,lioaf & noa,2,1,false
1oneam,1rtdjPkpufclNbMl5fI8sFqv1wDujz_LExp-Z-2yWubU,"slemns, fly",1,1,false
Ski Mask the Slump God,1j7_2JVQ2eyaVA6vEQT89R8XhOXUR8KTJbVgTUm_ZD88,"tendai, deka",1,1,true
Lil Wayne,1CpQtbjAVFzwXF46IHxa6u_gzZGwcU0-M8cTRr8wNlvI,@WM,2,0,false
Beyoncé [Alt],1uuF4cextoP3D4cLTe4ekxXEsjfAGfDo6EKlejqzxXSk,@glorychild,2,0,false
Lil Peep,1kF3KZUjtwiJxxP0GCXJ0VmX7bA2JdwnKa-j1GCaoeC8,"@uleft, justasoul, theshadowlovely",2,0,false
Addison Rae,1PV15r6OaScF7A7znOwL5BW_LZ8tZhroeASLFPiKY9qw,luvgalore on disc,1,1,false
Olivia Rodrigo [Alt],1jfqNzeNdLw00kgY_rNw5PjjKRau0uwQxJuJtPe3u1_Y,"Super Lover, Unfixqble",1,1,false
Denzel Curry,1Pyi72FNT6KWuQE3g4BmIDCV26HMfKFcE650Duyia43o,"Tereyağız, hbesok!, ScalderM",1,1,false
Juice WRLD [Alt #2],1TyFhO3zyaZ1EpMT224HslkAC7w5yrHQU3XA3k1iIYe8,@EasyBreezyCz @corms,0,1,false
PARTYNEXTDOOR [Alt],1PzJRlIoC6HPP86FfQf9ZqxixHPvZjEjWNfs6n_Wdbik,valentinxo,1,1,false
Future [Alt #2],1KAFxqfqinvf-zGnglM1FgfIUnd1lzC6SmgxEYT-RYDI,@slimeystonersex,0,0,false
IShowSpeed,1oFVqENzCSt1XTn0_Cwasc7wD_IhiSQcXua4cmWQujZs,hyphenwt,2,1,false
Kali Uchis,1NUrLwq0-ENwnoEUrBL-Ufn1eik__Zm4s6mkt8rP0PWA,"skaura2, kama, lioaf",1,1,false
Chris Brown,1o2M9juqyzh7EUCHm0ApKx0XSnGda6ZiM1kGrOp0EfMM,GrimR3xx & Reggie,1,1,false
Britney Spears,1K2QqFOnuZmG83bElnuOVwbvl-L7jp7OHAKspByK69L0,britneyss_b_h,1,1,false
Carly Rae Jepsen,1T8YgFsccEHNiwBQxMg1030nbIY07blIubr31eJ6D9NE,"momoquacks, cevan, willaimprb",1,1,false
Camila Cabello,1XHIMrA-sE4SsT1Xf3W9om0lLwVhOUxeR2v3JM0J8BDw,"Sanchez, Gustavo Mendes, AREUTHEREEEFORME, lukinhas, kama #hereforcharli",1,1,false
Dua Lipa,15Z0P2roEfi0hV8Hu32kcDfvZW_EethROZxhkXacsfxg,raymeta12 & Dula Peep,1,1,false
Tate McRae,102i9aoX40nXz7jb6VQkHBNtI9HS6CDTaD3dePguL3MQ,"@aderynswife, @aureliaa",1,1,false
Summrs,13yCSXxHCBhNGzO6kBGr_MMmRDNLu9j4X10vn_CSBuG4,zed,0,1,false
Apollored1,1Y5F5onxyeaAbmebnOFYvkDBSHWoU74_YnIIyPXd_QVc,"cryatnoon, stashmusik, slemns",1,1,false
Metro Boomin,1AoKGzPa8qVzR75Ma9vQH3HVB7kaQ4_pmPdVDfg9pluw,"Jeen, Brimcoole, DarkStakerz",2,0,false
Madison Beer,1ImYAxuEkVI3sD_TWBI37sIEDMvf3QAPGx1ISu9YfLcU,"BringBackSoul, cent & Jeen",1,1,false
The Kid LAROI,1a8_li_D3rG0iDLqT9AGZsRVojlEyhO_nb735cRpyUvE,@Capri @Desper,1,0,false
Laufey,1xF_OlIDmcuCZk0BgzCgrzvDHMTuBRQ5m,"@WhatLoveMeans, @umpg, @BroForGag13",1,1,false
Ayesha Erotica,17rGUQ3k3PZtRLeD6hxCxfp5iVLlId7Xr4zFD41sKZ4M,@guyfilmoutsold,1,1,false
Freddie Gibbs,1CCe1DI9VIp0J4MQyTsdMuOriZ9ucmCVMw6nS9j8e4N0,"@madvilliany, vexlcx",1,1,false
Linkin Park,1h6grxB8nJg1Pfxz8HMXC2-xvAahDJdBeY64dBdQKHn4,"@Cater, Joey ""Hot Shot"" Ammo, maxwell_was_taken, Seriodrew",0,1,false
King Von,174Qxk5H7hn_TSVvcc1gDGIp02hPZ2H1z6hoFI32YdaA,@FinalxNinja,2,1,false
ROSALÍA,1r98aVOoa3Gg-ObBl4A0ekRXJ4X6oHMBIY-3G37bhrtk,Jeen,1,0,false
BROCKHAMPTON,1gM4-rRghgRUBr2cgWNsh-nawlUuh43guAM63dYVTdt8,u/MagicalScarf,1,1,false
Pusha T,19wsRrbQxQ7sz-LhkEYUlKIcVFvXdcG1hvT58zEY03sA,"Yousef, The Creator",1,1,false
JID,1qjN2OaBVhulG0U9G-PXbmtwSfah1qazIiydK42A1Dk0,Jeen,0,0,false
Billie Eilish [Alt],1wS3D9gHB79NE7LrjEF3DXUxJzfex8VbkY0-1p2aV5Ew,"Plague Doctress, ShxdowLIVE, Lin3y, Jisenku, hcaor, Jeen",1,1,false
Slayyyter,1-au3vWEOcfByV_wGXsDjQFN8VkvQCkdPd1zv1q_o3Do,MRMIAMI,1,1,false
SOPHIE,1to4ZPK7_FRxtLgvDg3mD5YMSTAOMAFyAXquIjYwz-u8,MeantToBeIconic,1,1,false
Pop Smoke,1-Kd8molYeR1WpmWR81DqmSCGng3g-AVmZfgd752kh3M,"raglord, FinalxNinja, slothsavedearth, Pop, DarkStakerz, zestysyrup",1,1,false
